FID,PlotID,EstablishD,Easting,Northing,PlotKey,Forb_herb,Graminoid,HL,None,Shrub,Subshrub,Tree,WL,RASTERVALU
33,6_GUSG_CONTROL,2016-06-09T06:00:00Z,183959.000000000000000,4216199.000000000000000,1607150747520000.000000000000000,0.12000000000000001,0.23333333333333334,0.600000000000000,0.300000000000000,0.11333333333333334,0.013333333333333334,NA,0.07333333333333333,0.000000000000000
34,7_GUSG_CONTROL,2016-06-15T06:00:00Z,184591.000000000000000,4221280.000000000000000,1607150848540000.000000000000000,0.24,0.5933333333333334,0.726666666667000,0.120000000000000,0.06,0.006666666666666667,NA,0.02666666666666667,0.000000000000000
35,8_GUSG_CONTROL,2016-06-13T06:00:00Z,180541.000000000000000,4218732.000000000000000,1607151106420000.000000000000000,0.03333333333333333,0.2,0.473333333333000,0.286666666667000,0.33999999999999997,NA,NA,0.04666666666666667,0.000000000000000
36,11_GUSG_CONTROL,2016-06-13T06:00:00Z,181256.000000000000000,4216732.000000000000000,1607221316420000.000000000000000,0.06,0.4266666666666667,0.640000000000000,0.193333333333000,0.17333333333333334,0.05333333333333333,NA,0.05333333333333334,0.000000000000000
37,12_GUSG_CONTROL,2016-06-13T06:00:00Z,185250.000000000000000,4217434.000000000000000,1607261242370000.000000000000000,0.08666666666666667,0.02,0.420000000000000,0.473333333333000,0.18,0.03333333333333333,NA,0.02,0.000000000000000
38,14_GUSG_CONTROL,2016-06-15T06:00:00Z,179408.000000000000000,4219177.000000000000000,1607261400400000.000000000000000,0.09333333333333334,0.42000000000000004,0.606666666667000,0.266666666667000,0.11333333333333334,0.013333333333333334,NA,0.013333333333333334,0.000000000000000
39,1_DENSE,2016-06-07T06:00:00Z,179409.000000000000000,4222342.000000000000000,1607261513150000.000000000000000,0.02666666666666667,0.08666666666666667,0.180000000000000,0.573333333333000,0.22,0.02,NA,0.02666666666666667,198.943679809999990
40,4_DENSE,2016-06-07T06:00:00Z,180719.000000000000000,4222520.000000000000000,1607261607230000.000000000000000,0.10666666666666666,0.8400000000000001,0.666666666667000,0.060000000000000,0.06666666666666667,NA,NA,0.02,0.000000000000000
41,5_DENSE,2016-06-07T06:00:00Z,181008.000000000000000,4222011.000000000000000,1607270743350000.000000000000000,0.05333333333333334,0.29333333333333333,0.340000000000000,0.413333333333000,0.16666666666666669,0.02,NA,0.10666666666666667,3183.098876950000000
42,12_DENSE,2016-06-14T06:00:00Z,174483.000000000000000,4223781.000000000000000,1607270831560000.000000000000000,0.12000000000000001,0.49333333333333335,0.633333333333000,0.200000000000000,0.16666666666666666,0.006666666666666667,NA,0.05333333333333334,397.887359618999990
