PlotID,EstablishDate,Easting,Northing,V1,ACHY,ADLE,ARFR4,ARNO4,ARPU9,ARTR2,ASAM5,ASTRA,ASTRA01,ASTRA2,ATCA2,ATCO,BOGR2,BRTE,BUNKF01,CHDE2,CHER2,CHVI8,COWRW,CRMI,DEPI,DRCU,ELEL5,ERCI6,ERCO27,ERIGE2,ERIGERON SP.,ERLE10,ERLO4,ERNA10,ERPU9,GUSA2,HECO26,HL,HYFI,IPPU4,IPRO,JUOS,KRLA2,LAOC3,LARE,LEMO2,LEMO3,LESA4,MAPI,MAVU,None,OECA10,OPPO,ORFA,PAMU11,PASM,PEBR9,PEPU7,PHAU3,PHHOC,PHLO2,PHRE9,PIDE4,PIED,PLJA,PLPA2,POFE,S,SATR12,SAUU3,SAVE4,SCLI,SPCO,SPCR,THAU3,TOAN,TRDU,UNKM,UNKSEEDLING,VUOC,WL
5_GUSG_CONTROL,2016-06-14T06:00:00Z,177824,4222215,3.7066666666666666,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0.36,0,0,0,0,0.006666666666666667,0,0,0,0,0,0,0,0.4666666666666667,0,0,0,0.03333333333333333,0,0.006666666666666667,0,0,0.013333333333333334,0,0.006666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02666666666666667
6_GUSG_CONTROL,2016-06-09T06:00:00Z,183959,4216199,3.526666666666667,0.04666666666666667,0,0,0,0,0.10666666666666667,0,0,0,0,0,0,0,0,0,0,0.04666666666666667,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0.013333333333333334,0.02,0.6,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0.3,0,0.006666666666666667,0,0,0,0,0,0,0,0.006666666666666667,0.006666666666666667,0,0,0,0,0,0,0,0.013333333333333334,0,0,0.05333333333333334,0,0,0,0.006666666666666667,0,0,0,0.07333333333333333
7_GUSG_CONTROL,2016-06-15T06:00:00Z,184591,4221280,3.1933333333333334,0,0,0,0,0,0.06,0,0,0,0,0,0,0.23333333333333334,0,0,0,0.20666666666666667,0,0,0,0,0,0.06666666666666667,0,0,0,0.006666666666666667,0,0,0,0,0.006666666666666667,0.21333333333333335,0.7266666666666667,0,0,0,0,0,0,0.02666666666666667,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0.08,0,0,0,0,0,0,0.006666666666666667,0.02,0,0,0,0,0,0,0,0.02666666666666667
8_GUSG_CONTROL,2016-06-13T06:00:00Z,180541,4218732,3.62,0,0,0,0.22666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11333333333333333,0,0,0.006666666666666667,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0.47333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.2866666666666667,0,0,0,0,0.10666666666666667,0,0,0,0,0,0,0,0,0.09333333333333334,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.04666666666666667
11_GUSG_CONTROL,2016-06-13T06:00:00Z,181256,4216732,3.3933333333333335,0.03333333333333333,0,0.03333333333333333,0.013333333333333334,0,0.09333333333333334,0,0,0,0,0.006666666666666667,0,0,0.08666666666666667,0,0,0,0,0,0,0,0,0.25333333333333335,0,0,0,0,0,0,0,0,0.02,0,0.64,0,0,0,0,0.06,0,0,0,0,0,0,0,0.19333333333333333,0,0,0,0,0.03333333333333333,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.006666666666666667,0,0,0.06,0,0,0,0,0,0,0,0.05333333333333334
12_GUSG_CONTROL,2016-06-13T06:00:00Z,185250,4217434,3.76,0,0,0,0.006666666666666667,0.006666666666666667,0.16,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0.006666666666666667,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0,0.02666666666666667,0,0.42,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0,0.47333333333333333,0,0.006666666666666667,0,0,0,0,0.04666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0.03333333333333333,0,0,0,0,0,0,0,0.02
14_GUSG_CONTROL,2016-06-15T06:00:00Z,179408,4219177,3.466666666666667,0.1,0,0,0.013333333333333334,0,0.02,0.006666666666666667,0,0,0,0.006666666666666667,0,0,0.06666666666666667,0,0.006666666666666667,0.04666666666666667,0.02,0,0,0,0,0.09333333333333334,0,0,0,0.006666666666666667,0,0,0,0,0.006666666666666667,0.02,0.6066666666666667,0,0,0,0,0.05333333333333334,0,0,0.02666666666666667,0,0,0,0,0.26666666666666666,0,0,0,0,0.09333333333333334,0,0,0,0,0,0,0,0,0.04666666666666667,0,0,0,0,0,0,0,0.013333333333333334,0,0,0,0,0,0,0,0.013333333333333334
1_DENSE,2016-06-07T06:00:00Z,179409,4222342,3.8666666666666667,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.006666666666666667,0,0,0,0.02666666666666667,0,0,0,0,0.02,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.5733333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02666666666666667
4_DENSE,2016-06-07T06:00:00Z,180719,4222520,3.24,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0,0,0,0.006666666666666667,0,0.14,0.56,0,0,0,0,0,0,0,0,0.12666666666666668,0.03333333333333333,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0.04666666666666667,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0.06666666666666667,0,0,0,0,0,0.02
5_DENSE,2016-06-07T06:00:00Z,181008,4222011,3.6066666666666665,0,0,0.006666666666666667,0.006666666666666667,0,0.1,0,0,0,0,0.006666666666666667,0,0.06666666666666667,0.1,0,0,0,0.006666666666666667,0,0,0,0,0.12666666666666668,0.006666666666666667,0,0,0,0,0,0,0,0.013333333333333334,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.41333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666666666666667,0,0,0,0,0.04666666666666667,0,0.04,0,0,0,0,0,0,0,0.10666666666666667
